id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Samsung SM-J320F Galaxy J3  Gold                            ,   9990.00,     5.0,    1.50,     8.0,    1536,       8,    2600,     293
Sony Xperia X  Rose Gold                                    ,  23989.00,     5.0,    1.80,    32.0,    3072,      23,    2620,     440
Alcatel OT-5010D Pixi 4 (5.0)  White                        ,   3990.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Sony Xperia XA Ultra dual  Lime Gold                        ,  20990.00,     6.0,    2.00,    16.0,    3072,      21,    2700,     367
Apple iPhone 7 256GB  Black                                 ,  65900.00,     4.7,    2.37,   256.0,    2048,      12,    1960,     325
HTC 10  Glacier Silver                                      ,  32990.00,     5.2,    2.20,    32.0,    4096,      12,    3000,     564
Meizu M3E  Silver White                                     ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3100,     400
ASUS ZenFone 3 Max ZC520TL  Silver (90AX0087-M00280)        ,  11490.00,     5.2,    1.30,    16.0,    2048,      13,    4130,     282
Lenovo Phab 2 (PB2-650M)  Champagne Gold                    ,  17090.00,     6.4,    1.30,    32.0,    3072,      13,    4050,     229
ASUS ZenFone Go ZB690KG  White (90AL0011-M00230)            ,   8890.00,     6.9,    1.20,     8.0,    1024,       8,    3480,     172
HTC U Ultra 64GB  Ice White                                 ,  36990.00,     5.7,    2.15,    64.0,    4096,      12,    3000,     515
Meizu M5 Note 32GB  Gray Black                              ,  15989.60,     5.5,    1.80,    32.0,    3072,      13,    4000,     400
ASUS ZenFone 2 Laser ZE550KL 16GB  White (90AZ00L2-M00480)  ,  11799.00,     5.5,    1.20,    16.0,    2048,      13,    3000,     267
ZTE Blade A465  Black                                       ,   6561.00,     5.0,    1.00,     8.0,    1024,       5,    2200,     195
Samsung SM-J320F Galaxy J3  Black                           ,   9990.00,     5.0,    1.50,     8.0,    1536,       8,    2600,     293
Alcatel OT-6055K Idol 4  Gold                               ,  13491.00,     5.2,    1.50,    16.0,    3072,      13,    2610,     423
Alcatel OT-6070K Idol 4S  Dark Grey                         ,  19990.00,     5.5,    1.80,    32.0,    3072,      16,    3000,     534
Sony Xperia XA Ultra dual  White                            ,  20989.50,     6.0,    2.00,    16.0,    3072,      21,    2700,     367
Apple iPhone 7 Plus 32GB  Rose Gold                         ,  50992.20,     5.5,    2.37,    32.0,    3072,      12,    2900,     400
Sony Xperia XZ  Mineral Black                               ,  38988.30,     5.2,    2.20,    32.0,    3072,      23,    2900,     423
Philips Xenium X818  Champagne                              ,  18890.00,     5.5,    2.00,    32.0,    3072,      16,    3900,     400
ASUS ZenFone 3 Deluxe ZS550KL  Gold (90AZ01F1-M00090)       ,  31090.00,     5.5,    2.00,    64.0,    4096,      16,    3000,     400
Lenovo Phab 2 Plus (PB2-670M)  Champagne Gold               ,  17390.00,     6.4,    1.30,    32.0,    3072,      13,    4050,     344
ASUS ZenFone Go ZB690KG  Grey (90AL0013-M00240)             ,   8990.00,     6.9,    1.20,     8.0,    1024,       8,    3480,     172
BQ Aquaris U Lite  White Gold                               ,   8090.00,     5.0,    1.40,    16.0,    2048,       8,    3080,     293
Meizu M5 Note 16GB  Silver White                            ,  14990.30,     5.5,    1.80,    16.0,    3072,      13,    4000,     400
Philips Xenium V526  Navy                                   ,   8790.00,     5.0,    1.30,     8.0,    1024,      13,    5000,     293
ZTE Blade X3  Black                                         ,   8790.00,     5.0,    1.00,     8.0,    1024,       8,    4000,     293
Samsung SM-J320F Galaxy J3  White                           ,   9990.00,     5.0,    1.50,     8.0,    1536,       8,    2600,     293
Alcatel OT-6055K Idol 4  Dark Gray                          ,  13491.00,     5.2,    1.50,    16.0,    3072,      13,    2610,     423
Alcatel OT-6070K Idol 4S  Gold                              ,  19990.00,     5.5,    1.80,    32.0,    3072,      16,    3000,     534
ZTE Blade A610  Gold                                        ,  12690.00,     5.0,    1.30,    16.0,    2048,      13,    4000,     293
Apple iPhone 7 Plus 32GB  Silver                            ,  50992.20,     5.5,    2.37,    32.0,    3072,      12,    2900,     400
